,entsoe_wind,entsoe_solar,atlite_wind,atlite_solar,wpl_wind,pvlib_uniform_solar,pvlib_mastr_solar
2023-04-17 13:00:00,11107.5,17597.5,11839.277472642127,40952.997058905916,14200.767330172632,47687.61982194962,45879.258093231816
2023-04-17 14:00:00,11981.25,13670.5,13251.533443902916,36419.57498326812,15941.109086904458,42405.018324720935,41035.168700603834
2023-04-17 15:00:00,12887.75,9171.25,14122.90815773466,27821.572005023874,16880.204531584823,32315.307763970963,31560.690771852882
2023-04-17 16:00:00,13339.25,4557.75,14403.978069743287,19787.035918591853,17256.50295879253,22873.898757687457,23075.625025154506
2023-04-17 17:00:00,12868.5,1162.0,13275.969971373965,10069.274464013577,15865.879989074288,10636.82594214254,13164.07425915769
2023-04-17 18:00:00,12881.5,34.0,14414.04581665828,1571.9434561329676,17291.328960796312,2968.5260734171998,4775.733257776546
2023-04-17 19:00:00,13500.5,0.0,15484.927886918133,6.59629320738009e-05,18788.24207182145,150.00599999654685,148.30123890028898
2023-04-17 20:00:00,13269.25,0.0,15277.268383670124,0.0,18719.929151710505,0.0,0.0
2023-04-17 21:00:00,13362.75,0.0,14616.396253764535,0.0,18171.362789126826,0.0,0.0
2023-04-17 22:00:00,13489.75,0.0,13298.80955168719,0.0,16221.291500612684,0.0,0.0
2023-04-17 23:00:00,12923.5,0.0,13655.143831430207,0.0,16763.59643691913,0.0,0.0
2023-04-18 00:00:00,12321.25,0.0,13306.194451088333,0.0,16398.935408982903,0.0,0.0
2023-04-18 01:00:00,12448.75,0.0,12702.517027953505,0.0,15943.08058834668,0.0,0.0
2023-04-18 02:00:00,12702.5,0.0,13617.85574476518,0.0,17243.551063861276,0.0,0.0
2023-04-18 03:00:00,13291.5,0.75,14108.571080367732,0.0,17821.173599339887,0.0,0.0
2023-04-18 04:00:00,13666.5,208.0,14594.713316762702,0.0,18234.06623617594,0.0,0.0
2023-04-18 05:00:00,13063.75,2131.75,15112.09101791973,51.18232552941894,18635.309735257917,587.4797150418761,585.8632321787587
2023-04-18 06:00:00,11764.5,5530.5,14647.442739145916,2551.9769385390587,17586.439680520987,4521.734039167769,4497.13582268912
2023-04-18 07:00:00,11515.75,9476.75,14292.522130794712,9484.142952858285,16856.297032088376,11805.863763796868,11599.385866636014
2023-04-18 08:00:00,13054.75,13183.75,14535.48493174081,16756.19672468118,17140.05386569268,19385.74870100503,18904.893001917328
2023-04-18 09:00:00,14338.25,15609.75,15401.78691267364,21123.1458809244,18156.325667979017,24190.811290470927,23565.01261520115
2023-04-18 10:00:00,15189.75,17469.25,15110.790510648118,23647.125347300407,17308.33542289358,26951.804441504042,26281.017954799925
2023-04-18 11:00:00,16106.0,17959.0,18400.790058387098,25791.31030484469,20983.118788424712,29368.98842278727,28673.429327751415
2023-04-18 12:00:00,17134.75,17119.5,20365.931770799933,24127.84233709224,23135.140472948427,27437.548685001162,26934.058311084205
2023-04-18 13:00:00,17504.25,15199.5,20365.333634637842,20246.499755685338,22919.482538023123,23688.154954747355,23302.93782877988
2023-04-18 14:00:00,17967.75,12138.25,20006.898917146646,18285.505138296572,22752.624528049044,21365.079400907664,21044.022927166672
2023-04-18 15:00:00,17941.0,8291.0,19764.318769467143,14883.226993076207,22842.65778852494,17806.814782804962,17582.782362412687
2023-04-18 16:00:00,17989.75,4111.75,19516.4388588861,9383.8459475151,22905.850430160906,11682.128396342066,11677.847907197747
2023-04-18 17:00:00,16733.25,1088.75,19712.16625798701,5121.369869642343,23171.37679288087,6674.392364823252,7086.423693146542
2023-04-18 18:00:00,17203.0,40.75,21356.125721271757,1054.3261979325562,25202.34854096786,1850.3736139215682,2871.3354588929687
2023-04-18 19:00:00,18947.75,0.0,23433.935272960607,0.00010853361298255122,27479.28220360459,152.86644570792558,151.1573536854552
2023-04-18 20:00:00,19609.0,0.0,23700.760944045585,0.0,27782.33300136617,0.0,0.0
2023-04-18 21:00:00,19687.5,0.0,23262.6620082679,0.0,27347.34779591626,0.0,0.0
2023-04-18 22:00:00,18743.75,0.0,22293.33319386954,0.0,26066.2951614058,0.0,0.0
2023-04-18 23:00:00,17505.0,0.0,21939.369965270173,0.0,25614.141333351094,0.0,0.0
2023-04-19 00:00:00,16438.75,0.0,21794.47957856919,0.0,25373.42785101732,0.0,0.0
2023-04-19 01:00:00,16376.0,0.0,21013.042963995933,0.0,24504.716241308826,0.0,0.0
2023-04-19 02:00:00,16469.0,0.0,20459.452381903153,0.0,23988.723286036584,0.0,0.0
2023-04-19 03:00:00,16894.75,2.5,19996.018763827673,0.0,23620.562200001703,0.0,0.0
2023-04-19 04:00:00,17426.25,312.5,19583.324911032047,0.0,23124.48867511321,0.0,0.0
2023-04-19 05:00:00,16010.0,3018.0,19849.063573573527,123.51552447066827,23331.364400190138,959.0506041040856,957.6934232101985
2023-04-19 06:00:00,14291.5,8585.25,18813.733164336132,4041.6429621541374,21922.960314174234,6650.591242775801,6619.266233232387
2023-04-19 07:00:00,14553.5,15032.25,18598.128017668816,14407.932445360917,21201.78682133551,17418.531450093004,16946.541799652456
2023-04-19 08:00:00,18883.0,19991.25,21363.81244858702,24820.89675979596,24052.946989035263,28735.435898928157,27447.48363840292
2023-04-19 09:00:00,21603.75,23386.25,22984.432410104906,34530.09436890732,25592.04515812483,40224.47311091892,38236.838349678466
2023-04-19 10:00:00,22281.0,25358.75,22005.87769289816,40102.904069872326,24116.35592533615,47049.41764498483,44703.95677005126
2023-04-19 11:00:00,23192.5,25007.0,25648.995884846667,44490.14707589174,27925.005112091363,52474.34101707277,49961.85900104379
2023-04-19 12:00:00,23872.5,23192.25,28556.954544233817,46387.51189266358,31002.359122732916,54942.07150544645,52419.31547830701
2023-04-19 13:00:00,24316.25,20021.25,29420.946780612565,43692.52642410404,32010.858624623208,51726.5940043828,49513.61399936535
2023-04-19 14:00:00,25084.0,15569.0,30964.45613121391,39061.38731884064,33558.324861621586,45810.786648476744,44060.87864955652
2023-04-19 15:00:00,26385.0,10470.0,31818.223836099,30663.223587255456,34576.46758079336,35911.0366607297,34873.39834594982
2023-04-19 16:00:00,26204.25,5297.0,31093.159125064194,20697.979846246668,34054.344381951945,23798.017332581912,23966.05094851864
2023-04-19 17:00:00,23690.5,1418.25,28194.49416504453,10189.189836904256,30967.922522070712,10842.203498062665,13200.338009199317
2023-04-19 18:00:00,21449.0,60.0,28082.808744007718,1970.826859274037,31233.72035675961,2518.2383757845823,5813.241346213435
2023-04-19 19:00:00,20865.75,0.0,27733.02141576249,0.0012567845978900829,30900.333762297498,217.5749115001298,215.09967828457638
2023-04-19 20:00:00,19180.25,0.0,26111.67399021174,0.0,29099.64656982605,0.0,0.0
2023-04-19 21:00:00,18592.0,0.0,24099.089311602904,0.0,27100.23728808277,0.0,0.0
2023-04-19 22:00:00,17363.25,0.0,23881.855650695838,0.0,26433.793137107965,0.0,0.0
2023-04-19 23:00:00,15838.0,0.0,22244.646306346844,0.0,24451.12704720142,0.0,0.0
2023-04-20 00:00:00,15094.0,0.0,21157.715197863738,0.0,23106.726535531674,0.0,0.0
2023-04-20 01:00:00,14625.5,0.0,19704.370508906744,0.0,21468.344577139298,0.0,0.0
2023-04-20 02:00:00,14135.5,0.0,18303.715774142194,0.0,20095.352605492222,0.0,0.0
2023-04-20 03:00:00,13705.25,1.5,17224.648485693946,0.0,19126.021979955472,0.0,0.0
2023-04-20 04:00:00,13206.25,242.75,16617.329500784435,0.0,18452.54652797996,0.0,0.0
2023-04-20 05:00:00,12398.75,2246.75,16176.583080164182,136.87743462702116,18067.92011722036,906.1384540384026,904.0323604709627
2023-04-20 06:00:00,11350.25,5633.5,16261.901104322724,3795.4648128915132,17834.17498516804,6249.068657522144,6219.2396312273395
2023-04-20 07:00:00,11156.75,9377.0,16627.718899694264,11678.327427063867,18269.62277292729,14272.18829873189,14020.635853993768
2023-04-20 08:00:00,11494.25,12412.25,18122.16437202663,19172.06026712339,19978.17252759813,21946.51308793252,21376.56675277015
2023-04-20 09:00:00,12323.75,14179.25,19438.71974718594,24835.250196488367,21141.60863599197,28331.09359315449,27531.231299640713
2023-04-20 10:00:00,13176.25,15605.75,16168.136427009733,31448.04346322812,17971.89120401968,35397.512078207015,34323.85535057649
2023-04-20 11:00:00,14226.75,16979.0,18719.846672467764,33312.40634768971,20847.068629686375,37517.945768889986,36417.76751105015
2023-04-20 12:00:00,15630.5,16801.75,21532.268565480972,34370.147515883546,23898.870465413784,39302.099281500865,38093.24056633117
2023-04-20 13:00:00,16421.75,15058.0,21584.845811238927,32603.469858311324,23973.432757575676,37478.86656388761,36346.067469857924
2023-04-20 14:00:00,16906.0,11965.0,22112.262103478995,28393.195481158004,24920.20599088185,33113.55104069141,32200.775493638885
2023-04-20 15:00:00,17374.0,7878.25,21738.001170235093,20642.630670105238,24329.33711730676,24263.41543748647,23774.338496400233
2023-04-20 16:00:00,16723.75,3871.75,21003.73896357246,12610.492914722616,23720.271425987397,15152.486660620427,15175.946854083442
2023-04-20 17:00:00,15395.25,1053.0,20650.32565980885,6698.2637832897235,23463.025457976302,7964.441935440043,8919.270651640783
2023-04-20 18:00:00,16404.75,37.75,21078.295418864625,1342.3054087951643,24342.87515356749,2219.114564250734,3518.7738286050944
2023-04-20 19:00:00,18164.5,0.0,22347.671676874026,0.0005532586423944702,25847.266239052722,157.6959235549887,155.92640689981124
2023-04-20 20:00:00,19212.25,0.0,23584.18285330403,0.0,27165.83111078518,0.0,0.0
2023-04-20 21:00:00,20319.25,0.0,25802.7827640176,0.0,29236.804345802113,0.0,0.0
2023-04-20 22:00:00,20437.75,0.0,29987.97005333859,0.0,32907.60392474599,0.0,0.0
2023-04-20 23:00:00,20254.0,0.0,29398.658366546162,0.0,32316.304297641032,0.0,0.0
2023-04-21 00:00:00,20045.0,0.0,29511.123440394433,0.0,32225.66845145834,0.0,0.0
2023-04-21 01:00:00,19766.0,0.0,29823.572765683693,0.0,32234.375628581754,0.0,0.0
2023-04-21 02:00:00,19024.5,0.0,29253.147852442133,0.0,31659.610141277444,0.0,0.0
2023-04-21 03:00:00,18741.25,0.75,27902.308991349313,0.0,30490.758172164533,0.0,0.0
2023-04-21 04:00:00,18688.5,508.25,26481.44238056719,0.0,29232.192102920773,0.05088988015278301,0.05078617037609479
