,KWF1_actual,KWF2_actual,KWF3_actual,KWF4_actual,KWF5_actual,KWF6_actual
2023-07-15 06:00:00,1299.1074073791517,1558.346735127768,1294.0134923299158,-0.15671797016096348,-1.0571068738505505,1005.338373070433
2023-07-15 07:00:00,1390.9674860636403,1422.4895807481364,1388.4017939249686,-0.13204125392561153,-1.2402986074487368,898.0280249277754
2023-07-15 08:00:00,1847.9183372631421,1804.3172010722926,1819.259117849251,-0.1428890872125824,-1.1665866953631243,1673.5113672892267
2023-07-15 09:00:00,1703.280582682293,1471.8254552205417,1763.6348520914732,-0.1160362536087632,-1.3101871145268282,1407.0720184326183
2023-07-15 10:00:00,1852.0671666463234,1984.3566335042335,1892.5098821004249,-0.12057100320234893,-1.2537250270446139,1959.2512084960956
2023-07-15 11:00:00,1504.3007621765155,1741.1966705322282,1260.6934464375186,-0.11559167020022869,-1.7216045270363487,1562.8781270345064
2023-07-15 12:00:00,1922.7676371256528,1921.1478363037124,1971.499436442059,-0.11905942051671443,-2.6602088699738187,1825.5596237182633
2023-07-15 13:00:00,1885.6172632853202,1922.6762298584001,1771.48883717855,-0.10012016935894885,-1.6550059432784716,1805.500707499188
2023-07-15 14:00:00,1937.7873255411803,2001.9449137369813,1774.68186645508,-0.12608383670449255,-1.5699126968781156,1990.3821604410825
2023-07-15 15:00:00,1990.7098592122413,1976.7044057210308,1946.1811421712257,-0.13284150318553048,-1.9580339399476852,1905.9315556844094
2023-07-15 16:00:00,1909.8126530965192,1998.659501139325,1832.3939142862973,-0.08740508565679189,-1.6241518596808113,1874.0329132080096
2023-07-15 17:00:00,1980.5130411783873,2032.569009399416,1928.4468439737973,-0.09558541967223089,-1.7150246975322567,1952.4444773356136
2023-07-15 18:00:00,1986.491111246746,2031.050840250653,1869.847783915203,-0.09771941993385552,-1.8520873949454544,1861.215657819783
2023-07-15 19:00:00,1909.2132273356137,1977.4112650553395,1630.8951944986995,-0.07015525184882183,-1.8357735221584637,1770.5426157633476
2023-07-15 20:00:00,1807.3282368977873,1979.583614095054,1426.785275268556,-0.1335341172905541,-1.5250097749133902,1723.9775833129897
2023-07-15 21:00:00,1891.3107782999696,1904.7798278808607,1598.333555603029,-0.14244450389718014,-1.3311714388430118,1594.770349629721
2023-07-15 22:00:00,1866.593305460613,1905.839067586265,1786.2068776448584,-0.1421777538799991,-1.1645416120688121,1704.9634185791026
2023-07-15 23:00:00,1849.6279307047544,1943.2504384358745,1824.1734893798846,-0.14022158759956552,-1.124351280927658,1743.3803395589205
2023-07-16 00:00:00,1769.6605759737795,1895.8053273518897,1876.2499851962991,-0.1467125042341649,-1.1175936058163636,1705.6782806396498
2023-07-16 01:00:00,1852.0822692871109,1956.6663177490254,1875.7439503987644,-0.14111075404410556,-1.0509950233002505,1653.2937352498386
2023-07-16 02:00:00,1820.1372278849296,1908.8897206624363,1914.5360961914078,-0.1632510059357931,-1.3668270272513234,1700.1047999064147
2023-07-16 03:00:00,1673.7253962198909,1683.0473826090504,1732.4576492309589,-0.14706817152909932,-1.0661108585695425,1461.983193461101
2023-07-16 04:00:00,1388.7571380615243,1578.581973775229,1449.2499702453624,-0.1558709217545887,-1.0179180237154164,1072.826323954265
2023-07-16 05:00:00,1161.2314066569018,1246.9656270345065,1092.135699335735,-0.13924350398592653,-1.0116377035253927,861.4705848693851
2023-07-16 06:00:00,1318.0192324320485,1459.6008656819674,1340.1283131917326,-0.13542008756970364,-1.0392580235997835,1149.8731418899636
2023-07-16 07:00:00,1592.32862854004,1403.9969841957102,1482.2955131530773,-0.1736145870666328,-1.1076349404950938,1332.587434641521
2023-07-16 08:00:00,1013.8905200958258,1072.4975738525397,811.3271263122564,-0.1251946709739665,-1.0270764437814555,846.7975249608362
2023-07-16 09:00:00,1468.992749786378,1373.449877313983,1164.9466687520353,-0.11612517014145847,-1.0828271952768163,1285.437298075359
2023-07-16 10:00:00,815.0216754913332,957.710517374675,818.9588855107631,-0.12314958685698606,-1.0371240250766278,956.5848433176683
2023-07-16 11:00:00,705.43106779132,674.035967890422,564.8034640797398,-0.12706192045783002,-1.0090263552963734,616.7295827229818
2023-07-16 12:00:00,1414.9951588948577,1526.9630345662445,1461.8321029663095,-0.10661108697143694,-1.0072480236490564,1275.1894549051924
2023-07-16 13:00:00,1058.3699556986496,986.6422477722175,1065.8733156840015,-0.11327983679560322,-1.0625541922946768,831.2661806742354
2023-07-16 14:00:00,1470.9765192667653,1596.428313191733,1565.4942881266295,-0.11692542087597148,-0.9855476811397491,1141.3580820719405
2023-07-16 15:00:00,808.6958302179978,829.5199077606204,859.6433082739521,-0.08980583556306859,-1.2711526843408743,589.833447892716
2023-07-16 16:00:00,460.35292212168423,440.85291905136506,402.14342484741184,-0.09736375239056844,-1.1432905244330565,440.2960862755777
2023-07-16 17:00:00,1130.7583783467614,1251.1600865681971,1174.9227765401213,-0.10910075292922557,-1.086383855342865,765.2745098180944
2023-07-16 18:00:00,913.691321818034,782.945636494955,741.42939605203,-0.10296550279793641,-1.0303663559257983,803.8754637400315
2023-07-16 19:00:00,648.2061986287438,689.3362851460776,616.4371219635012,-0.11286511493386946,-1.1349323588112992,474.05605608622244
2023-07-16 20:00:00,497.2442217508953,564.9446345011394,543.3779304772094,-0.09878641995601352,-0.9919543579220774,453.8464274088542
2023-07-16 21:00:00,497.04984156290703,545.0692606608073,460.2950794219972,-0.11087908746364213,-1.0846944426496823,425.96822128295906
2023-07-16 22:00:00,720.4744905839885,719.4830769856773,509.36094748179136,-0.15684900456108153,-1.045571106672287,579.6843106587729
2023-07-16 23:00:00,986.6747990926116,1060.059673055014,899.8218633015955,-0.14493417159343758,-1.0405917721490063,735.7224901835125
2023-07-17 00:00:00,744.9811716715495,839.2373407999675,744.5066864013673,-0.15089158861277002,-1.0797151051461695,639.5120956420899
2023-07-17 01:00:00,422.517949930827,490.6655601501465,463.5832392374675,-0.18725850462603075,-1.0597977754970394,445.179351679484
2023-07-17 02:00:00,336.63701960245777,429.3528719584148,293.7752496083578,-0.19766175687933954,-1.1066381419306264,381.7349210103354
2023-07-17 03:00:00,518.570268758138,579.6395736694336,496.14391072591144,-0.20290783862583336,-1.1560056020816167,548.9070714314779
2023-07-17 04:00:00,442.6172393798829,468.96800664265953,451.8320589701336,-0.17436558813787995,-1.166942358513673,427.59675305684414
2023-07-17 05:00:00,545.0529922485352,593.786487833659,546.2077486673992,-0.18076758845709262,-1.1537826913098492,459.22357304890966
2023-07-17 06:00:00,421.6455357869467,501.6111114501953,470.53178532918304,-0.20086275567300613,-1.1493368645509083,378.8455856959026
2023-07-17 07:00:00,784.704084904989,881.6988580134881,680.1869964599613,-0.15240317069304485,-1.1240845258037246,780.4490971682368
2023-07-17 08:00:00,639.4343662261964,705.2817431131999,427.65542507171637,-0.12421658720510702,-1.068600528935591,745.4281035105392
2023-07-17 09:00:00,678.6595756530764,675.0136674245201,415.8719939390819,-0.132841503387317,-1.2771101132035254,610.2689459482831
2023-07-17 10:00:00,800.7234629915478,630.2519856770833,489.1962155342103,-0.10289530581386201,-1.3846103678146997,734.1741909027102
2023-07-17 11:00:00,1149.8280188242604,1078.345461654664,698.5684738912082,-0.09522975273430347,-1.6248645280798275,860.9439762115484
2023-07-17 12:00:00,962.182307465872,801.3913987477623,593.2219212214155,-0.11070125279948113,-1.4590850944581784,782.3981407642368
2023-07-17 13:00:00,623.5434350093208,678.3274549802148,415.7639671579006,-0.12377200365687412,-1.5241206213831902,480.24081032872226
2023-07-17 14:00:00,1028.5654487609875,739.49680595398,531.9579503854119,-0.1203042536508292,-1.3299266085028647,788.1935658772791
2023-07-17 15:00:00,969.3195767720548,843.9236468064163,930.8111695607507,-0.1374651708329717,-1.4338702008128168,664.4347661972048
2023-07-17 16:00:00,660.1161703745526,600.9815644094101,590.0624207437041,-0.09869750263169409,-1.308319869140784,540.7537912944953
2023-07-17 17:00:00,456.44980306625376,347.6092348933221,355.4248762448629,-0.0767350854507337,-1.282622943818569,297.8520031995941
